_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
63bfc3687c8d4d1d81ab3f3c||108|99.26|108|76.7|135,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511784000
63bfc34e7c8d4d1d81ab3e79||106.33|95.21|114.32|81.44|133,3,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1673511758000
63bfc33e7c8d4d1d81ab3df7||98.4|96.18|103.2|77.69|123,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511742000
63bfc32d7c8d4d1d81ab3d88||113.6|95.42|121.6|80|142,4,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511725000
63bfc3097c8d4d1d81ab3cb3||105.6|93.2|116.8|83.67|132,6,1,0|time|15|-1|1|15|0|8.15|false|false|english|none|normal|false|false|false||1673511689000
63bfc2ee7c8d4d1d81ab3be8||104|95.71|109.6|67.82|130,1,1,0|time|15|-1|1|15|0|12.34|false|false|english|none|normal|false|false|false||1673511662000
63bfc2587c8d4d1d81ab37c6||107.2|97.14|111.2|76.97|134,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511512000
63bfc2487c8d4d1d81ab3747||111.2|91.61|123.2|85.57|139,8,1,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511496000
63bfc2377c8d4d1d81ab36c0||113.6|97.97|118.4|81.55|142,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511479000
63bfc2117c8d4d1d81ab35aa||100.8|90.54|118.4|82.69|126,9,2,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511441000
63bfc2017c8d4d1d81ab3534||96.8|89.54|122.4|80.33|121,11,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511425000
63bfc1f07c8d4d1d81ab34b6||105.6|95.86|113.6|80.86|132,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511408000
63bfc1e07c8d4d1d81ab3438||104.8|93.84|116.8|79.98|131,5,1,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511392000
63bfc1ad7c8d4d1d81ab32c4||100.8|88.24|122.4|80.99|126,11,2,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511341000
63bfc19d7c8d4d1d81ab3258||92|84.35|115.2|78.86|115,10,5,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511325000
63bfc18c7c8d4d1d81ab31ec||97.6|92.57|118.4|87.25|122,7,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511308000
63bfc17c7c8d4d1d81a89151||101.6|93.01|114.4|78.38|127,7,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1673511292000
