StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
032767,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032768,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032769,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03276P,4000,1,3320,0.83,0.83,0.83,0.83,0.0,2023-02-01
03276U,46000,4,39840,0.85,0.9,0.85,0.85,-0.01,2023-02-01
032770,20000,2,33800,1.69,1.69,1.69,1.69,0.2,2023-02-01
032771,755000,20,573470,0.67,0.91,0.67,0.91,0.0,2023-02-01
032772,132000,2,124200,0.95,0.95,0.94,0.94,0.04,2023-02-01
032773,10000,1,13600,1.36,1.36,1.36,1.36,0.06,2023-02-01
032774,16000,6,22720,1.42,1.43,1.37,1.37,0.02,2023-02-01
032775,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032776,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032777,233000,17,467100,2.02,2.05,1.93,1.98,0.03,2023-02-01
032778,23000,4,40250,1.75,1.77,1.73,1.73,0.01,2023-02-01
032779,127000,6,212210,1.67,1.7,1.55,1.56,-0.07,2023-02-01
03277P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03277U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032780,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032781,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032782,3000,2,4180,1.39,1.4,1.39,1.4,-0.02,2023-02-01
032783,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032784,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032785,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032786,175000,4,297000,1.72,1.72,1.68,1.72,0.21,2023-02-01
032787,170000,5,185500,1.11,1.13,1.07,1.13,0.22,2023-02-01
032788,30000,3,53220,1.78,1.78,1.76,1.76,-0.02,2023-02-01
032789,36000,3,64340,1.84,1.84,1.72,1.72,0.0,2023-02-01
03278P,146000,3,258420,1.76,1.78,1.76,1.78,-0.06,2023-02-01
03278U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032790,15000,1,29400,1.96,1.96,1.96,1.96,0.07,2023-02-01
032791,352000,13,507430,1.51,1.51,1.39,1.45,0.04,2023-02-01
032792,490000,14,780250,1.56,1.74,1.53,1.62,0.11,2023-02-01
032793,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032794,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032795,397000,7,402680,1.0,1.08,1.0,1.04,0.0,2023-02-01
032796,150000,4,171420,1.15,1.15,1.13,1.13,0.01,2023-02-01
032797,393000,17,274230,0.7,0.71,0.69,0.71,0.02,2023-02-01
032798,4000,1,6160,1.54,1.54,1.54,1.54,-0.13,2023-02-01
032799,176000,24,434690,2.5,2.57,2.39,2.55,0.26,2023-02-01
03279P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03279U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032800,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032801,133000,18,286750,1.85,2.42,1.85,2.42,0.67,2023-02-01
032802,13000,2,7150,0.55,0.55,0.55,0.55,0.02,2023-02-01
032803,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032804,672000,50,2103680,2.97,3.33,2.9,3.23,0.03,2023-02-01
032805,284000,3,1572000,5.5,5.6,5.5,5.6,0.1,2023-02-01
032806,124000,5,611180,4.84,4.95,4.84,4.95,-0.6,2023-02-01
032807,2000,2,1600,0.8,0.8,0.8,0.8,0.0,2023-02-01
032808,113000,4,172280,1.4,1.55,1.4,1.55,0.0,2023-02-01
032809,676000,29,1713660,2.53,2.62,2.48,2.5,-0.11,2023-02-01
03280P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03280U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032810,79000,3,124010,1.43,1.59,1.43,1.59,0.26,2023-02-01
032811,100000,9,101400,1.01,1.02,1.0,1.0,-0.05,2023-02-01
032812,71000,3,94190,1.49,1.49,1.29,1.33,-0.13,2023-02-01
032813,9000,1,15480,1.72,1.72,1.72,1.72,-0.14,2023-02-01
032814,92000,2,99360,1.08,1.08,1.08,1.08,0.04,2023-02-01
032815,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032816,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032817,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032818,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032819,40000,8,126480,3.16,3.19,3.1,3.1,0.07,2023-02-01
03281P,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
03281U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032820,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032821,5000,1,3750,0.75,0.75,0.75,0.75,0.05,2023-02-01
032822,70000,2,187600,2.68,2.68,2.68,2.68,0.08,2023-02-01
032823,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032824,105000,2,327400,3.12,3.12,3.11,3.11,0.0,2023-02-01
032825,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032826,247000,5,179280,0.72,0.74,0.72,0.74,0.08,2023-02-01
032827,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
032828,98000,2,125880,1.27,1.29,1.27,1.29,-0.02,2023-02-01
